Model,Config ID,Scale Numeric,Parameters JSON,CV Accuracy Mean,CV Accuracy Std,CV Precision Mean,CV Precision Std,CV Recall Mean,CV Recall Std,CV Specificity Mean,CV Specificity Std,CV F1 Mean,CV F1 Std,CV ROC-AUC Mean,CV ROC-AUC Std,CV PR-AUC Mean,CV PR-AUC Std,CV Fit Time Mean (s),Full Fit Time (s),Test Accuracy,Test Precision,Test Recall,Test Specificity,Test F1,Test ROC-AUC,Test PR-AUC,Test TN,Test FP,Test FN,Test TP
Perceptron,perceptron_033,True,"{""alpha"": 0.01, ""max_iter"": 500, ""penalty"": ""l1"", ""tol"": 0.001}",0.974125,0.0112465272417755,0.9389352708878876,0.0461393616760227,0.9774891774891774,0.0503357293636316,0.9727592267135324,0.0213262936722523,0.9561119286200104,0.0190153360450723,1.0,5.551115123125783e-17,1.0,0.0,0.0242319583892822,0.0221985999960452,0.995,0.9829642248722316,1.0,0.9929725931131412,0.9914089347079038,1.0,1.0,1413,10,0,577
Perceptron,perceptron_034,False,"{""alpha"": 0.01, ""max_iter"": 500, ""penalty"": ""l1"", ""tol"": 0.001}",0.999625,0.0003423265984407,1.0,0.0,0.9987012987012986,0.0011855466612665,1.0,0.0,0.9993499458288192,0.0005934155552602,1.0,5.551115123125783e-17,1.0,0.0,0.0253429889678955,0.042990899994038,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
Perceptron,perceptron_035,True,"{""alpha"": 0.01, ""max_iter"": 500, ""penalty"": ""l1"", ""tol"": 0.0001}",0.95575,0.0540081012441652,0.968901878914405,0.0520195093171123,0.8813852813852814,0.2043672922524872,0.985940246045694,0.0239767375213396,0.908915134205315,0.1254802916883503,1.0,0.0,1.0,0.0,0.0279126644134521,0.0576322999550029,0.9675,0.8987538940809969,1.0,0.954321855235418,0.9466776045939296,1.0,1.0,1358,65,0,577
Perceptron,perceptron_036,False,"{""alpha"": 0.01, ""max_iter"": 500, ""penalty"": ""l1"", ""tol"": 0.0001}",0.999625,0.0003423265984407,1.0,0.0,0.9987012987012986,0.0011855466612665,1.0,0.0,0.9993499458288192,0.0005934155552602,1.0,5.551115123125783e-17,1.0,0.0,0.024775743484497,0.0464293000404723,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
Perceptron,perceptron_037,True,"{""alpha"": 0.001, ""max_iter"": 200, ""penalty"": ""l2"", ""tol"": 0.001}",0.996625,0.0034686092313779,1.0,0.0,0.9883116883116884,0.0120124995026074,1.0,0.0,0.9940919143653504,0.0061190776938161,0.999989729075845,1.0118333278759944e-05,0.9999750624206026,2.4412237176075488e-05,0.0192217826843261,0.0218810000224038,0.997,0.991394148020654,0.9982668977469672,0.9964862965565706,0.9948186528497408,0.9998660286382056,0.9996707311396704,1418,5,1,576
Perceptron,perceptron_038,False,"{""alpha"": 0.001, ""max_iter"": 200, ""penalty"": ""l2"", ""tol"": 0.001}",0.9995,0.0006846531968814,1.0,0.0,0.9982683982683984,0.0023710933225331,1.0,0.0,0.9991323210412149,0.0011881183459981,1.0,0.0,1.0,0.0,0.0222682952880859,0.0165206000092439,0.9995,0.9982698961937716,1.0,0.999297259311314,0.9991341991341992,1.0,1.0,1422,1,0,577
Perceptron,perceptron_039,True,"{""alpha"": 0.001, ""max_iter"": 200, ""penalty"": ""l2"", ""tol"": 0.0001}",0.994875,0.0036282313184249,0.9982465610811748,0.0028536043921822,0.983982683982684,0.0119145964887643,0.9992970123022846,0.0011457297724433,0.99103421815161,0.0063724145724308,0.9999185934159572,0.0001167414548095,0.9998120079783036,0.0002656051793746,0.0245821475982666,0.0242301999824121,0.999,1.0,0.9965337954939342,1.0,0.9982638888888888,0.9999963462355874,0.9999910356780016,1423,0,2,575
Perceptron,perceptron_040,False,"{""alpha"": 0.001, ""max_iter"": 200, ""penalty"": ""l2"", ""tol"": 0.0001}",0.9995,0.0006846531968814,1.0,0.0,0.9982683982683984,0.0023710933225331,1.0,0.0,0.9991323210412149,0.0011881183459981,1.0,0.0,1.0,0.0,0.0229137420654296,0.0148247000179253,0.9995,0.9982698961937716,1.0,0.999297259311314,0.9991341991341992,1.0,1.0,1422,1,0,577
Perceptron,perceptron_041,True,"{""alpha"": 0.001, ""max_iter"": 300, ""penalty"": ""l2"", ""tol"": 0.001}",0.996625,0.0034686092313779,1.0,0.0,0.9883116883116884,0.0120124995026074,1.0,0.0,0.9940919143653504,0.0061190776938161,0.999989729075845,1.0118333278759944e-05,0.9999750624206026,2.4412237176075488e-05,0.0232119560241699,0.0169630000018514,0.997,0.991394148020654,0.9982668977469672,0.9964862965565706,0.9948186528497408,0.9998660286382056,0.9996707311396704,1418,5,1,576
Perceptron,perceptron_042,False,"{""alpha"": 0.001, ""max_iter"": 300, ""penalty"": ""l2"", ""tol"": 0.001}",0.9995,0.0006846531968814,1.0,0.0,0.9982683982683984,0.0023710933225331,1.0,0.0,0.9991323210412149,0.0011881183459981,1.0,0.0,1.0,0.0,0.0238524913787841,0.0143446000292897,0.9995,0.9982698961937716,1.0,0.999297259311314,0.9991341991341992,1.0,1.0,1422,1,0,577
Perceptron,perceptron_043,True,"{""alpha"": 0.001, ""max_iter"": 300, ""penalty"": ""l2"", ""tol"": 0.0001}",0.994875,0.0036282313184249,0.9982465610811748,0.0028536043921822,0.983982683982684,0.0119145964887643,0.9992970123022846,0.0011457297724433,0.99103421815161,0.0063724145724308,0.9999185934159572,0.0001167414548095,0.9998120079783036,0.0002656051793746,0.0230124950408935,0.0268963999697007,0.999,1.0,0.9965337954939342,1.0,0.9982638888888888,0.9999963462355874,0.9999910356780016,1423,0,2,575
Perceptron,perceptron_044,False,"{""alpha"": 0.001, ""max_iter"": 300, ""penalty"": ""l2"", ""tol"": 0.0001}",0.9995,0.0006846531968814,1.0,0.0,0.9982683982683984,0.0023710933225331,1.0,0.0,0.9991323210412149,0.0011881183459981,1.0,0.0,1.0,0.0,0.0200796127319335,0.0211718000355176,0.9995,0.9982698961937716,1.0,0.999297259311314,0.9991341991341992,1.0,1.0,1422,1,0,577
Perceptron,perceptron_045,True,"{""alpha"": 0.001, ""max_iter"": 500, ""penalty"": ""l2"", ""tol"": 0.001}",0.996625,0.0034686092313779,1.0,0.0,0.9883116883116884,0.0120124995026074,1.0,0.0,0.9940919143653504,0.0061190776938161,0.999989729075845,1.0118333278759944e-05,0.9999750624206026,2.4412237176075488e-05,0.0206016063690185,0.0259213999961502,0.997,0.991394148020654,0.9982668977469672,0.9964862965565706,0.9948186528497408,0.9998660286382056,0.9996707311396704,1418,5,1,576
